Date,Open,High,Low,Close,Adj Close,Volume
27-08-2015,1307.449951,1307.449951,1272.900024,1287.324951,1145.360352,5264798
28-08-2015,1304.5,1304.5,1278.849976,1285.425049,1143.6698,2744152
31-08-2015,1295,1295,1265.525024,1282.025024,1140.64502,3692044
01-09-2015,1278,1305.599976,1265,1268.699951,1128.789429,2987602
02-09-2015,1279.849976,1310.224976,1274,1295.900024,1152.989502,3765950
03-09-2015,1298.050049,1307.5,1288.125,1302.800049,1159.12854,2265074
04-09-2015,1305.699951,1307.449951,1269.574951,1273.724976,1133.260376,2426396
07-09-2015,1276.5,1279.974976,1266.349976,1269.875,1129.834717,1759184
08-09-2015,1272.5,1282.050049,1261.75,1270.150024,1130.079834,1787746
09-09-2015,1281.474976,1287,1272,1274.875,1134.283569,2045076
10-09-2015,1271,1289.25,1263.5,1272.699951,1132.348145,2665818
11-09-2015,1273.25,1284.199951,1270.300049,1276,1135.284546,1592672
14-09-2015,1282.5,1282.5,1271.5,1275.824951,1135.128418,1589318
15-09-2015,1275.824951,1279.449951,1268,1268.625,1128.722534,1379900
16-09-2015,1277.5,1282.5,1270.525024,1275.175049,1134.550049,1756816
18-09-2015,1282.5,1293,1269.5,1275.625,1134.950317,2455294
21-09-2015,1275,1278.550049,1266.599976,1275.525024,1134.861572,1108840
22-09-2015,1278.75,1286.199951,1245,1263.400024,1124.07373,2081246
23-09-2015,1267.150024,1278.875,1256.300049,1266.324951,1126.676147,1228352
